Encuesta de PoblaciÌ_n Activa;;;;;;;;;;;;;;;;;;
Parados;;;;;;;;;;;;;;;;;;
Parados por sector econÌ_mico y comunidad autÌ_noma;;;;;;;;;;;;;;;;;;
Total;Nacional;AndalucÌ_a;AragÌ_n;Asturias, Principado de;Balears, Illes;Canarias;Cantabria;Castilla y LeÌ_n;Castilla - La Mancha;CataluÌ±a;Comunitat Valenciana;Extremadura;Galicia;Madrid, Comunidad de;Murcia, RegiÌ_n de;Navarra, Comunidad Foral de;PaÌ_s Vasco;Rioja, La
2008T1;2190.5;561.7;40.7;42;60;147.2;18.2;97.3;92.1;293.4;240.4;69.1;108.3;249.5;66.5;19.5;61.9;10.6
2008T2;2385.7;616.1;46.9;39.1;48.5;161.1;20.2;110.7;103.9;293.8;287.5;68.5;108.1;296.9;81;18.3;62.3;11.1
2008T3;2600.7;701.7;43.3;38.6;55.3;176.6;18.1;113.5;111.3;346.1;309.3;72.2;110.3;286;98.4;23.2;70.5;13.4
2008T4;3206.8;845.6;66;49.7;68.6;215.4;25.1;136.1;147.9;465;370.5;88.1;127.7;347.7;109.7;25.7;92;16
2009T1;4018.2;939.6;89.8;59.7;110.8;270.2;36.2;167.2;179.9;640.7;473.2;107.9;161;465.3;137.2;33.6;114.1;18.3
2009T2;4139.6;994.4;88.4;68.7;108.1;264.8;33.4;171.6;195.4;622.6;527.6;99.3;166.7;466.6;144.5;38.5;115.5;20.5
2009T3;4121.4;992.7;81.7;66.7;90.6;269.4;31.7;155.9;182.5;624.3;541.1;94.1;161.1;489;146.7;32.6;126.9;20.8
2009T4;4335;1034.1;90.9;69;113.4;285.1;35.8;168.5;192.3;659.8;558.3;103.4;167.6;502;155.1;33;130.4;22.3
2010T1;4617.7;1077.4;102.2;81.6;128;294.4;40.3;187.2;217.6;699.9;561.7;113.8;200.2;553.6;164.4;38.8;118.5;23.7
2010T2;4655.3;1100.2;96;80.1;121.7;308.8;39.2;197.2;213.9;693.3;586.7;113;201.3;566.6;151;35.4;115.1;19.4
2010T3;4585.4;1125.1;90.4;69.4;104.9;303;33.8;183.7;200.3;688.3;573.8;111.7;195.1;548.9;171.3;39.9;108.2;22.7
2010T4;4702.2;1117.4;107.2;80.9;127.4;306.4;41.2;188.6;219.1;705.2;562.8;120.1;203;545.3;180.1;37.4;118.7;24.9
2011T1;4921.2;1177.6;118.7;88.2;143.4;304.4;45.4;207.8;223.5;750.3;585.1;126.5;225.3;524.4;184.9;43.6;129.9;25.4
2011T2;4844.2;1173.5;116.8;84.7;116.7;321.5;42;197.9;237.6;712.9;574.2;116.5;218.9;544.1;173.2;41.3;128.5;26.8
2011T3;4998;1227.9;106;83.9;110.5;317.7;40.6;196.4;229.8;772.5;604.4;116.3;224.9;569.8;175.2;37.7;136.6;29.2
2011T4;5287.3;1247;111.7;91.9;149.8;329.5;45.4;205.1;251.8;804.1;622;141.3;239.8;619;191.9;43.9;144;30.1
2012T1;5667.9;1326.5;122.2;98.9;165.3;350.6;54.2;230.1;280.8;866.6;665.6;160.4;265.9;629.1;194.3;51.5;152.6;32.1
2012T2;5731;1358.7;126;104.2;132.5;360;49.2;237.7;295.1;852.4;661.8;166.7;275.9;641.4;190.3;52.3;164.7;36.9
2012T3;5824.2;1426.7;127.1;107.9;124.9;367.4;44.7;231.5;283.8;878.4;683.7;168.8;263.4;629.4;208;47.8;172.7;32.6
2012T4;6021;1446.8;126.1;116.6;146.5;358.8;54.7;244.1;305.5;925.6;682.7;175.3;276.9;664.5;212.2;54.6;177.4;29.4
2013T1;6278.2;1481.7;148.7;126.2;171.6;374.4;58.3;266.8;317.8;949;709.8;184.1;287.9;689.7;215.4;60.1;181.3;29.6
2013T2;6047.3;1447.2;144.4;118.2;133.1;362.4;61.8;249.9;308.6;909.1;704.9;175.4;290.3;651;207.8;57.9;169.9;32.2
2013T3;5943.4;1450.8;133.8;117.8;106.4;383.5;52.7;245.4;300.4;875.3;678.9;172.5;279.1;651.8;210.4;56.7;169.7;31.1
2013T4;5935.6;1462.5;133.7;107.9;133.7;365.3;55.9;256.7;292.4;839.5;668.3;164.1;280.9;685.5;206.6;51;173.3;31.9
2014T1;5933.3;1403.4;148.4;109.3;152.5;356;58.4;257.4;306.6;840.2;683.1;160.7;296.9;677;200.5;53.8;178.9;30.5
2014T2;5622.9;1400.3;136.3;99.7;118;356.9;53.8;246.6;288.2;770.4;640.8;147.7;284.3;631.8;181.6;49.5;167.5;27.8
2014T3;5427.7;1419.1;119.7;95.8;101;362.3;54.1;226;285.4;726.1;614.1;140.3;258.3;583.6;188.9;46.2;155;29.1
2014T4;5457.7;1395.7;120.7;98.4;111.4;342.2;51.2;234.3;283.1;756.5;569.4;151.8;263.8;612.3;196.9;46.4;174.1;26.4
2015T1;5444.6;1359.1;119.7;87.2;130.7;343.5;51.5;233.7;284.5;758;588.8;151.7;275.7;602.8;186.9;47.9;171.2;27.1
2015T2;5149;1260.5;110.8;93;103.5;336.5;50.1;213.1;266.6;726.2;558.4;149.1;252.5;602.5;175.9;38.4;164.4;25.6